עד תאריך	מתאריך	קובץ תמונה	תוכן3	תוכן2	תוכן1	כותרת
יד אדר	י אדר		ומעוברת שאמרו שפטורה להתענות, הכוונה לאישה שכבר עברו עליה שלושה חודשים להריונה, ומכל מקום אם סובלת ממיחושים והקאות יכולה להקל גם בטרם מלאת שלושה חודשים להריונה, ובפרט לאחר ארבעים יום ליצירת הולד.	ולכן נהגו בכל תפוצות ישראל להתענות ביום זה בכל שנה ושנה, זכר לנס שנעשה להם. וצום זה נקרא תענית אסתר.	בימי מרדכי ואסתר התאספו היהודים בשלושה עשר לחודש אדר לעמוד על נפשם מפני אויביהם ושונאיהם, והיו צריכים וזקוקים לרחמי שמים מרובים, לבל יוכלו אויביהם לפגוע בהם, ועמדו בתפילה ובתחנונים וישבו בתענית באותו יום, כשם שעשה משה רבינו ביום שנלחם עם עמלק שעמד בתפילה ובתענית, וגבר ישראל. וה' יתברך אלוקי אבותינו שמע תחינתם וקיבל תשובתם ותעניתם ברצון, וביום אשר שברו (חשבו) אויבי היהודים לשלוט בהם, ונהפוך הוא, אשר ישלטו היהודים המה בשונאיהם, והרגו היהודים בשונאיהם שבעים וחמש אלף איש, מלבד שהרגו בשונאיהם בשושן הבירה, ולא נהרג אף אחד מישראל, כי לא בחיל ולא בכוח כי אם ברוחי אמר ה' צבאות.	תענית אסתר
ט״ו אדר	ט״ו אדר	hafets.jpg			"ועובר גם המספר במה שכתוב (דברים כ""ד ח'): השמר בנגע הצרעת לשמור מאוד ולעשות. ופרשו בספרא, שמה שכתבה התורה לשמור מאוד, הכוונה שלא לשכוח מליזהר בלשון הרע, שלא תבוא עליך הצרעת על ידי סיפור זה"	הלכות לשון הרע, פתיחה – לאוין, ג
ט״ז אדר	ט״ז אדר	hafets.jpg		כי בשמים כולן נכתבין בשם חבורת רשע. כי כן מובא בצוואת רבי אליעזר הגדול שצוה להורקנוס בנו וזה לשונו: בני, אל תשב בחבורות האומרים גנאי מחבריהם, כי כשהדברים עולים למעלה – בספר נכתבין וכל העומדים שם נכתבין בשם חבורת רשע	"עובר גם המספר והמקבל בלאו (ויקרא י""ט י""ד) ""לפני עוור לא תתן מכשול"". כי כל אחד נותן מכשול בפני חבירו, שיעבור על לאוין המפורשין בתורה. אך יש חלוק בזה בין המספר והמקבל בזה. שהמספר עובר בלאו בין היו השומעים מועטים או מרובים, ואדרבה ככל שיתרבו השומעים כן גודל הלאו. לא כן המקבל, ייתכן שאין עובר אלא רק אם הוא לבד, שאם לא היה מקשיב לא היה למספר למי לספר הלשון הרע. אבל אם יש שומעים אחרים, ייתכן שאין עובר על לאו זה אלא רק על שאר לאוין המפורשין בפתיחה זו. וכל זה אם בא לאחר תחילת הסיפור, אבל אם היה מתחילה, בוודאי עובר בכל האופנים כי על ידו התחיל האיסור. ועל כל פנים צריך להיזהר מחבורות כאלה, שלא לישב עמהם"	הלכות לשון הרע, פתיחה – לאוין, ד
י״ז אדר	י״ז אדר	hafets.jpg			"ועובר גם המספר בלאו (דברים ח' י""א) ""השמר לך פן תשכח את ה' אלוהיך"" שהוא אזהרה לגסי הרוח. כי כיון שהוא מלעיג על חבירו, מן הסתם הוא מחשיב את עצמו לחכם ולאיש באנשים כי אילו היה מכיר את נגעי עצמו, לא היה מלעיג לחברו. וידוע מאמר חז""ל בסוטה (ד:) שעוון הגאווה קשה הוא עד מאוד, כמו שמובא שם שעבור זה אין עפרו ננער לתחיית המתים. והוא כעובד כוכבים ומזלות, ושכינה מיללת עליו, ונקרא תועבה. ובפרט אם בסיפור הזה של לשון הרע הוא מכבד את עצמו, בוודאי עובר בלאו זה. מלבד מה שכרתוהו ז""ל מעולם הבא ואמרו (ירושלמי פרק ב' הלכה א'): ""המתכבד בקלון חברו- אין לו חלק לעולם הבא""."	הלכות לשון הרע, פתיחה – לאוין, ה
י״ח אדר	י״ח אדר	hafets.jpg			"ועובר גם המספר והמקבל בלאו (ויקרא כ""ב ל""ב) ""לא תחללו את שם קדשי"". אחרי שאין בזה תאווה או הנאה גשמית, שעל ידי זה יתגבר יצרו עליו, על כן נחשב העוון הזה כמרד ופריקת עול מלכות שמים בעלמא. ומחלל שם שמים בזה. וכל זה אפי' בסתם איש ישראל. ובפרט אם הוא איש חשוב שהכול מסתכלים על מעשיו בוודאי מתחלל השם על ידי זה. ועל אחת כמה וכמה אם היה העברה הזאת ברבים, בוודאי שהחטא גדול עד מאוד שנקרא מחלל שם שמים ברבים."	הלכות לשון הרע, פתיחה – לאוין, ו
י״ט אדר	י״ט אדר	hafets.jpg			"ולפעמים עובר גם המספר בלאו של (ויקרא י""ט י""ז) ""לא תשנא את אחיך בלבבך"". כגון אם בפניו שלום ידבר את רעהו, ושלא בפניו מבאיש את ריחו בפני אחרים. ועל אחת כמה וכמה אם בפרוש מצווה להם, שלא ילכו ויודיעוהו וודאי עובר על לאו זה."	הלכות לשון הרע, פתיחה – לאוין, ז
כ אדר	כ אדר	hafets.jpg			"והוא עובר מתחילה על הנטירה בלב, על לאו ""לא תטור"". ואחר כך כשנוקם ממנו וסיפר עליו עבור זה הדברי גנות שראה עליו, עובר גם על לאו של ""לא תקום"". אלא צריך שימחה הדבר מליבו. לפעמים שהמספר עובר גם כן על לאו (ויקרא י""ט י""ח) של ""לא תקום ולא תטור"". כגון שיש לו שנאה עליו על דבר, שבקש ממנו לעשות לו טובה כגון הלוואה וכיוצא בזה, ולא היטיבו ועבור זה נוטר לו שנאה בליבו. וכשרואה אחר כך עליו דבר גנאי, מפרסמו בפנים אנשים"	הלכות לשון הרע, פתיחה – לאוין, ח ט
כ״א אדר	כ״א אדר	hafets.jpg			"ואם קם והעיד עליו לפני בית דין בדבר איסור ביחידי, כיון שאין יכול לבוא בזה שום תועלת בדבר ממון ושבועה ולא לענין לפסול את האיש הזה מחזקת כשרותו כיון שהוא עד אחד בדבר, אם כן שם רע בעלמא הוא מוציא עליו. ועובר על לאו של ""לא יקום עד אחד באיש לכל עוון ולכל חטאת"". וצריכין בית דין להלקותו עבור זה."	הלכות לשון הרע, פתיחה – לאוין, י
כ״ב אדר	כ״ב אדר	hafets.jpg			"וכל זה שכתבנו הוא במספר יחידי או שומע יחידי. אבל אם הוא מדבק את עצמו לחבורת אנשי רשע ובעלי לשון הרע, כדי לספר ולשמוע מהם. עובר גם כן על לאו ""לא תהיה אחרי רבים לרעות"". שהוא אזהרה לא להסכים ולהתחבר עם עושי עוול אף על פי שהם רבים. ועין לקמן באות ו' במצות עשה, שעובר גם על מצות עשה על התחברות רעה זו."	הלכות לשון הרע, פתיחה – לאוין, יא
כ״ג אדר	כ״ג אדר	hafets.jpg			"ואם הוא מחזיק במחלוקת על ידי סיפורו עובר גם על לאו (במדבר יז ה') של ""לא יהיה כקורח וכעדתו"" שהוא אזהרה לא להחזיק במחלוקת"	הלכות לשון הרע, פתיחה – לאוין, יב
כ״ד אדר	כ״ד אדר	hafets.jpg			"ופעמים רבות מצוי לאו נוסף: אסור לבזות אדם על פי מעשים שעשה בעבר, ייחוס משפחתי, חוסר חכמה או חוסר הצלחה. גם כאשר הדבר היה בין שניהם בלבד, יש בזה איסור ""לא תונו איש את עמיתו"", וקל וחומר בפני אחרים."	הלכות לשון הרע, פתיחה – לאוין, יג
כ״ה אדר	כ״ה אדר	hafets.jpg			"אם גינהו בדברים עד שהשתנו פניו, עובר על ""לא תשא עליו חטא"". התורה הזהירה שלא לבייש יהודי אפילו בתוכחה שבינו לבין עצמו, וכל שכן שאין לביישו שלא בדרך תוכחה או ברבים."	הלכות לשון הרע, פתיחה – לאוין, יד
כ״ו אדר	כ״ו אדר	hafets.jpg			"אם מדובר ביתום או אלמנה, אפילו אם הם עשירים, וסיפור גנותם מצער אותם, עובר גם על ""כל אלמנה ויתום לא תענון"". התורה החמירה מאוד שלא להקניטם או להכאיב להם."	הלכות לשון הרע, פתיחה – לאוין, טו
כ״ז אדר	כ״ז אדר	hafets.jpg			לפעמים עובר גם על איסור חנופה, כגון שמספר לשון הרע כדי למצוא חן בעיני השומע, או שמסכים לדברי המספר אף שיודע שהם אסורים. חובה לא להחניף לעוברי עבירה ולא לחזק שנאה.	הלכות לשון הרע, פתיחה – לאוין, טז
כ״ח אדר	כ״ח אדר	hafets.jpg			"לפעמים מצוי עוד לאו של ""לא תקלל חרש"", כאשר מתוך כעס על אדם המספר בא לידי קללה. אם התורה אסרה לקלל אפילו מי שאינו שומע, כל שכן שיש להיזהר בדיבור על כל אדם."	הלכות לשון הרע, פתיחה – לאוין, יז
כ״ט אדר	כ״ט אדר	hafets.jpg			"המספר לשון הרע עובר על מצוות עשה של ""זכור את אשר עשה ה׳ אלוהיך למרים"". עלינו לזכור שמרים הצדקת נענשה אף שכוונתה היתה לטובה, ומזה נלמד חומרת הדיבור."	הלכות לשון הרע, פתיחה – עשין, א
א ניסן	א ניסן	hafets.jpg			"המספר או המקבל לשון הרע מבטל מצוות ""ואהבת לרעך כמוך"". אדם שאוהב את חברו אינו רוצה בגנותו ואינו שמח לשמוע או לפרסם חסרונותיו."	הלכות לשון הרע, פתיחה – עשין, ב
ב ניסן	ב ניסן	hafets.jpg			"לעיתים עובר גם על ""בצדק תשפוט עמיתך"". כאשר אפשר לפרש מעשה של אדם לכף זכות, אין להכריעו לגנאי ולספר עליו, אלא לדון אותו ביושר וברחמים."	הלכות לשון הרע, פתיחה – עשין, ג
ג ניסן	ג ניסן	hafets.jpg			אם על ידי הסיפור איבד חברו את פרנסתו, כגון שפרסם עליו שאינו נאמן או אינו מקצועי, עובר גם על החובה להחזיק את חברו ולא לגרום לו הפסד וצער.	הלכות לשון הרע, פתיחה – עשין, ד
ד ניסן	ד ניסן	hafets.jpg			"לפעמים המקבל לשון הרע עובר על מצוות ""הוכח תוכיח"". אם יכול להפסיק את המספר או להראות לו שאסור לדבר כך ואינו עושה זאת, הוא נכשל בשתיקה במקום תוכחה."	הלכות לשון הרע, פתיחה – עשין, ה
ה ניסן	ה ניסן	hafets.jpg			"מי שיושב עם בעלי לשון הרע ומתחבר אליהם עובר על מצוות ""ובו תדבק"", שכן עליו להידבק בטובים ובתלמידי חכמים ולא בחבורה שמרגילה לדיבור אסור."	הלכות לשון הרע, פתיחה – עשין, ו
ו ניסן	ו ניסן	hafets.jpg			"אם מדבר לשון הרע בבית הכנסת או בבית המדרש, עובר גם על ""ומקדשי תיראו"". מקום קדוש מחייב זהירות גדולה יותר בדיבור, במחשבה ובכבוד המקום."	הלכות לשון הרע, פתיחה – עשין, ז
ז ניסן	ז ניסן	hafets.jpg			"אם סיפר לשון הרע על זקן או תלמיד חכם וגינה אותו בפניו, עובר על ""והדרת פני זקן"". מצווה לכבד את הזקן, והדיבור בגנותו הוא היפך הכבוד."	הלכות לשון הרע, פתיחה – עשין, ח
ח ניסן	ח ניסן	hafets.jpg			"המספר לשון הרע על כהן וגינה אותו בכך עובר על ""וקדשתו"". התורה ציוותה לנהוג כבוד בכהנים, והמבזה אותם בדיבור מבטל כבוד זה."	הלכות לשון הרע, פתיחה – עשין, ט
ט ניסן	ט ניסן	hafets.jpg			"אם מספר לשון הרע על אחיו הגדול או על מי שחייב בכבודו מצד אביו ואמו, עובר גם על מצוות כיבוד אב ואם שנלמדת מריבוי ""ואת""."	הלכות לשון הרע, פתיחה – עשין, י
י ניסן	י ניסן	hafets.jpg			"המספר לשון הרע עובר על ""את ה׳ אלוהיך תירא"". מי שמפקיר את דיבורו שוכח שהקב״ה משגיח על כל מעשה ודיבור ודן את האדם לפי חומרת מעשיו."	הלכות לשון הרע, פתיחה – עשין, יא
י״א ניסן	י״א ניסן	hafets.jpg			בשעה שאדם מדבר לשון הרע הוא גם מבטל מצוות תלמוד תורה, ששכרה גדול מאוד והיא שקולה כנגד כל המצוות. במקום דיבור אסור עליו לעסוק בדברי תורה.	הלכות לשון הרע, פתיחה – עשין, יב
י״ב ניסן	י״ב ניסן	hafets.jpg			"אם בתוך הסיפור נתערב אפילו מקצת שקר, עובר גם על ""מדבר שקר תרחק"" ונעשה בגדר מוציא שם רע. חומרתו גדולה מלשון הרע הנאמרת על דבר אמת."	הלכות לשון הרע, פתיחה – עשין, י״ג
י״ג ניסן	י״ג ניסן	hafets.jpg			"עוד עובר על ""והלכת בדרכיו"". הקב״ה רחום וחנון וגומל חסדים, ואדם שמרגיל עצמו לדבר בגנות הבריות מתרחק מן המידות הטובות."	הלכות לשון הרע, פתיחה – עשין, י״ד
י״ד ניסן	י״ד ניסן	hafets.jpg			"המספר לשון הרע נוגע גם בארורים שנאמרו בתורה, כגון ""ארור מכה רעהו בסתר"" ו""ארור משגה עיוור בדרך"", כי הדיבור הרע פוגע בסתר ומכשיל אחרים."	הלכות לשון הרע, פתיחה – ארורין
ט״ו ניסן	ט״ו ניסן	hafets.jpg			"אסור לספר דבר גנות על חברו אפילו אם הגנות אמת. זהו לשון הרע, והמספר עובר על ""לא תלך רכיל בעמך"" כאשר הוא מפרסם דבר המבזה את חברו."	הלכות לשון הרע, כלל א, סעיף א׳
ט״ז ניסן	ט״ז ניסן	hafets.jpg			האיסור המפורש של לשון הרע אינו היחיד; על ידי סיפור לשון הרע עלול אדם לעבור על עוד הרבה לאוין ועשין, ולכן צריך זהירות גדולה מאוד.	הלכות לשון הרע, כלל א, סעיף ב׳
י״ז ניסן	י״ז ניסן	hafets.jpg			המספר לשון הרע במקרה עובר באיסור, ואם הורגל בכך בקביעות חטאו חמור יותר. הרגל של ישיבה וסיפור גנאי על אנשים הוא קלקול גדול.	הלכות לשון הרע, כלל א, סעיף ג׳
י״ח ניסן	י״ח ניסן	hafets.jpg			חז״ל אמרו שלשון הרע שקול כנגד עבירות חמורות. לכן אין להקל בו גם כאשר נראה כדיבור רגיל, כי כוחו להזיק גדול מאוד.	הלכות לשון הרע, כלל א, סעיף ד׳
י״ט ניסן	י״ט ניסן	hafets.jpg			אין הבדל אם אדם מספר מעצמו או שחברו שכנע אותו לספר. גם אם אביו או רבו ביקשו ממנו לספר גנאי, אסור לו לעבור על איסור לשון הרע.	הלכות לשון הרע, כלל א, סעיף ה׳
כ ניסן	כ ניסן	hafets.jpg			אפילו אם הימנעות מלשון הרע תגרום הפסד בפרנסה או אי נעימות, אסור לספר. מצוות התורה עומדת גם מול לחץ והפסד.	הלכות לשון הרע, כלל א, סעיף ו׳
כ״א ניסן	כ״א ניסן	hafets.jpg			אם אדם יושב בין אנשים שמדברים דיבורים אסורים ואין לו דרך לצאת, עליו להימנע מלהשתתף. מוטב שיראה שונה בעיני אחרים ולא ייכשל בדיבור אסור.	הלכות לשון הרע, כלל א, סעיף ז
כ״ב ניסן	כ״ב ניסן	hafets.jpg			איסור לשון הרע שייך גם בכתיבה וברמז, לא רק בדיבור מפורש. כל דרך שבה מתפרסם גנותו של אדם בכלל האיסור.	הלכות לשון הרע, כלל א, סעיף ח ט
כ״ג ניסן	כ״ג ניסן	hafets.jpg			אסור לספר לשון הרע אפילו בפני אדם יחיד, וככל שמתרבים השומעים גדל העוון, מפני שהגנות מתפרסמת יותר ומכשילים יותר אנשים.	הלכות לשון הרע, כלל ב, סעיף א
כ״ד ניסן	כ״ד ניסן	hafets.jpg			ההיתר שנזכר לגבי דבר שנאמר בפני שלושה אינו היתר גמור לספר גנות, אלא נאמר בדבר שאינו גנאי גמור ומשתמע לשני פנים, ותלוי בדרך האמירה.	הלכות לשון הרע, כלל ב, סעיף ב
כ״ה ניסן	כ״ה ניסן	hafets.jpg			גם כאשר סיפור נאמר בפני שלושה, יש להיזהר מאוד שלא להסיק מכך היתר גורף. עצם המספר עבר, והמשך ההפצה תלוי בפרטים רבים.	הלכות לשון הרע, כלל ב, סעיף ג
כ״ו ניסן	כ״ו ניסן	hafets.jpg			גם במקום שיש צד היתר למה שנאמר בפני שלושה, הוא נאמר רק למי ששמע בעצמו, ולא למי ששמע מאחד מהם, אלא אם הדבר כבר נתפרסם לגמרי.	הלכות לשון הרע, כלל ב, סעיף ד
כ״ז ניסן	כ״ז ניסן	hafets.jpg			אם שלושת השומעים הם יראי אלוקים שנזהרים מלדבר לשון הרע, אין לומר שהדבר יתפרסם מאליו, ולכן אין להתיר להפיץ את הסיפור.	הלכות לשון הרע, כלל ב, סעיף ה
כ״ח ניסן	כ״ח ניסן	hafets.jpg			"היתר ""בפני שלושה"" נאמר דווקא באותה העיר ובתנאים מסוימים, ולא בעיר אחרת שבה הדבר אינו מפורסם."	הלכות לשון הרע, כלל ב, סעיף ו
כ״ט ניסן	כ״ט ניסן	hafets.jpg			אם המספר הזהיר את השומעים שלא לגלות, אסור לספר הלאה. גם כאשר אחרים עלולים לגלות, אין זה מתיר לאדם להיות המפרסם.	הלכות לשון הרע, כלל ב, סעיף ז
ל ניסן	ל ניסן	hafets.jpg			אין חילוק בלשון האזהרה: אם נאמר שלא לדבר או שלא יוודע מהם הדבר, בכל האופנים אסור לגלות לאדם אחר.	הלכות לשון הרע, כלל ב, סעיף ח
א אייר	א אייר	hafets.jpg			גם כאשר אין איסור בעצם החזרה על סיפור שנודע ברבים, אסור להוסיף אפילו מילה אחת או להטעים את הסיפור באופן שמגדיל את הגנות.	הלכות לשון הרע, כלל ב, הלכה ט
ב אייר	ב אייר	hafets.jpg			היתר סיפור שנאמר בפני שלושה אינו שייך אם ברור שהשומע יקבל את הסיפור כאמת או יוסיף ממנו גנאי. אין לגרום קלקול אצל השומע.	הלכות לשון הרע, כלל ב, הלכה י
ג אייר	ג אייר	hafets.jpg			אדם שהיה בדיון של טובי העיר אינו רשאי לגלות שהחלטה התקבלה בניגוד לדעתו כדי להטיל דופי בחבריו. זה בכלל רכילות ולשון הרע.	הלכות לשון הרע, כלל ב, סעיף י״א
ד אייר	ד אייר	hafets.jpg			אסור ללעוג לדרשן ולומר שאין בדרשותיו ממש. לעג כזה נחשב לשון הרע ופוגע בכבוד הבריות ובכבוד התורה.	הלכות לשון הרע, כלל ב, סעיף י״ב
ה אייר	ה אייר	hafets.jpg			כאשר אדם מגלה פרטים עסקיים בפני שלושה, יש לדון בזהירות אם רצה שיתפרסמו. אין לפרסם דברים שעלולים לגרום נזק או צער.	הלכות לשון הרע, כלל ב, סעיף י״ג
ו אייר	ו אייר	hafets.jpg			איסור לשון הרע הוא גם בדבר אמת, בין בסתר ובין בפניו. עצם פרסום הגנות הוא האיסור, ולא רק שקר או המצאה.	הלכות לשון הרע, כלל ג, סעיף א׳
ז אייר	ז אייר	hafets.jpg			דבר המשתמע לשני פנים תלוי בדרך אמירתו. אם נאמר באופן שמכוון לגנות, אף שאפשר לפרשו לטובה, יש בו חשש לשון הרע.	הלכות לשון הרע, כלל ג, סעיף ב׳
ח אייר	ח אייר	hafets.jpg			אסור לספר לשון הרע גם בלי שנאה ומתוך שחוק וקלות ראש. כיוון שהדברים הם דברי גנאי, הם אסורים מן התורה.	הלכות לשון הרע, כלל ג, סעיף ג
ט אייר	ט אייר	hafets.jpg			גם אם אינו מזכיר את שם האדם במפורש, אך השומע מבין מתוך הסיפור על מי מדובר, הדבר בכלל לשון הרע.	הלכות לשון הרע, כלל ג, סעיף ד
י אייר	י אייר	hafets.jpg			יש דיבורי לשון הרע הנאמרים כאילו לפי תומם, כאשר המספר מעמיד פנים שאינו מבין שהסיפור כולל גנאי. גם זו דרך אסורה.	הלכות לשון הרע, כלל ג, סעיף ה
י״א אייר	י״א אייר	hafets.jpg			גם אם לא נגרם נזק בפועל למי שסופר עליו, כגון שהשומעים לא קיבלו את הדברים, הסיפור עדיין נחשב לשון הרע וצריך כפרה.	הלכות לשון הרע, כלל ג, סעיף ו
י״ב אייר	י״ב אייר	hafets.jpg			בענייני דין לכף זכות יש כלל גדול: כאשר רואים אדם עושה מעשה שאפשר לפרשו בכמה דרכים, צריך לבחון לפי מדרגת האדם והנסיבות ולא למהר לגנות.	הלכות לשון הרע, כלל ג, הלכה ז׳
י״ג אייר	י״ג אייר	hafets.jpg			גם במקום שבו הכף נוטה לחובה ואין חובה גמורה לדון לזכות, אין למהר לבזות את האדם אצל אחרים. בין מחשבה פנימית לפרסום יש הבדל גדול.	הלכות לשון הרע, כלל ג, הלכה ח׳
י״ד אייר	י״ד אייר	hafets.jpg			אסור לספר על חברו דבר שיתבזה בו, גם כאשר ראה אותו מתנהג שלא כדין בענייני מצוות. אין להפוך ידיעה על חטא לפרסום גנות.	הלכות לשון הרע, כלל ד, סעיף א׳
ט״ו אייר	ט״ו אייר	hafets.jpg			אין חילוק אם מדובר באיסור לאו או עשה הידוע לרבים. כאשר הפרסום יבזה את האדם, יש להיזהר מאוד שלא לספר.	הלכות לשון הרע, כלל ד, סעיף ב׳
ט״ז אייר	ט״ז אייר	hafets.jpg			דין לכף זכות מתחלק לפי סוג האדם והמעשה. באדם בינוני שנכשל לפעמים יש לחפש אפשרות שטעה, לא התכוון או לא ידע.	הלכות לשון הרע, כלל ד, סעיף ג׳
י״ז אייר	י״ז אייר	hafets.jpg			בעבירה חמורה שידועה לכל, הדין משתנה לפי מצב האדם: אם בדרך כלל הוא נזהר, יש מקום לתלות שנכשל במקרה ולא לפרסמו לגנאי.	הלכות לשון הרע, כלל ד, סעיף ד׳
י״ח אייר	י״ח אייר	hafets.jpg			כאשר מדובר בלץ שאינו מקבל תוכחה ועלול להכשיל אחרים, לפעמים נכון למסור הדבר לדייני העיר או למי שיכול לתקן, ולא לפרסם סתם.	הלכות לשון הרע, כלל ד, סעיף ה׳
י״ט אייר	י״ט אייר	hafets.jpg			באדם שחוזר על מעשיו ואם רבו יכול להשפיע עליו, ייתכן שמותר לגלות לרבו לשם תיקון. ההיתר תלוי בכוונה לתועלת ולא בגנות.	הלכות לשון הרע, כלל ד, סעיף ו׳
כ אייר	כ אייר	hafets.jpg			החובה לדון לכף זכות נאמרה באדם שמנהגו להתחרט על חטאיו. במי שפרק עול ומחזיק ברשע, הדין שונה בפרטים מסוימים.	הלכות לשון הרע, כלל ד, סעיף ז׳
כ״א אייר	כ״א אייר	hafets.jpg			כאשר בית דין פסק לאדם דין והוא מסרב לקיים, יש מצבים שמותר לספר גנותו כדי להביאו לקיום הדין. גם אז צריך תנאי תועלת וזהירות.	הלכות לשון הרע, כלל ד, סעיף ח׳
כ״ב אייר	כ״ב אייר	hafets.jpg			אסור לספר על אדם שהוא בעל מידה רעה, כגון גאווה או כעס, גם אם רואים שהורגל בכך. פרסום מידות רעות עלול להיות לשון הרע.	הלכות לשון הרע, כלל ד, סעיף ט׳
כ״ג אייר	כ״ג אייר	hafets.jpg			מותר לפעמים להזהיר בן או תלמיד שלא להתחבר לאדם שמעשיו רעים, כאשר הכוונה להצילם שילמדו ממעשיו ולא לבזות את אותו אדם.	הלכות לשון הרע, כלל ד, סעיף י׳
כ״ד אייר	כ״ד אייר	hafets.jpg			לפני שידוך, עבודה או שותפות מותר לברר פרטים הנצרכים לתועלת, אך צריך לכוון לתועלת בלבד ולשאול ולענות בזהירות לפי הדין.	הלכות לשון הרע, כלל ד, סעיף י״א
כ״ה אייר	כ״ה אייר	hafets.jpg			מי שעבר וסיפר לשון הרע ורוצה לשוב, אם השומעים דחו את דבריו ולא נגרם גנאי, עליו לתקן בעיקר בין אדם למקום ולקבל לעתיד.	הלכות לשון הרע, כלל ד, סעיף י״ב
כ״ו אייר	כ״ו אייר	hafets.jpg			כשם שאסור לבזות בעניינים שבין אדם למקום, כך אסור לבזות בעניינים שבין אדם לחברו, אפילו אם הדבר אמת.	הלכות לשון הרע, כלל ה, סעיף א׳
כ״ז אייר	כ״ז אייר	hafets.jpg			אסור לבזות אדם מצד חסרון במעלותיו, כגון חכמה או עושר. גם דיבור על חוסר כישרון או חוסר הצלחה יכול להיות לשון הרע.	הלכות לשון הרע, כלל ה, סעיף ב׳
כ״ח אייר	כ״ח אייר	hafets.jpg			כנגד פיתוי היצר לומר שזה אינו לשון הרע, יחשוב האדם כיצד היה מרגיש אילו פרסמו עליו עצמו דברים כאלה.	הלכות לשון הרע, כלל ה, סעיף ג ד
כ״ט אייר	כ״ט אייר	hafets.jpg			אסור לספר על אדם שהוא חלש או חסר גבורה כאשר יכול להיגרם לו נזק, כגון בפרנסה או במעמדו. גם חסרונות גופניים בכלל האיסור.	הלכות לשון הרע, כלל ה, סעיף ה׳
א סיון	א סיון	hafets.jpg			בדיני לשון הרע תלוי גם על מי מדברים: דבר שנחשב שבח לאדם אחד עלול להיות גנאי לאדם אחר, לפי מצבו ותפקידו.	הלכות לשון הרע, כלל ה, סעיף ו׳
ב סיון	ב סיון	hafets.jpg			כשם שאסור להוציא דיבה על אדם, כך אסור להוציא דיבה על חפציו או עסקיו. דיבור שפוגע במסחרו של חברו הוא לשון הרע.	הלכות לשון הרע, כלל ה, סעיף ז׳
ג סיון	ג סיון	hafets.jpg			איסור לשון הרע הוא אפילו על אמת ובפני יחיד, וכל שכן בפני שניים, מפני שהשומעים מאמינים יותר ונגרם יותר בוז למי שמסופר עליו.	הלכות לשון הרע, כלל ה, סעיף ח׳
ד סיון	ד סיון	hafets.jpg			אסור לקבל לשון הרע בלב כאמת, בין בדברים שבין אדם למקום ובין שבין אדם לחברו. קבלה בלב גורמת לביזוי האדם בעיני השומע.	הלכות לשון הרע, כלל ו, סעיף א׳
ה סיון	ה סיון	hafets.jpg			גם שמיעת לשון הרע בלבד אסורה מן התורה כאשר אדם מטה אוזן לשמוע. יש הבדל בין שמיעה לקבלה, אך שתיהן דורשות זהירות.	הלכות לשון הרע, כלל ו, סעיף ב׳
ו סיון	ו סיון	hafets.jpg			כאשר צריך לברר על שותף או עניין מעשי, יש דרך מותרת לברר לתועלת. אין לשמוע גנות מתוך סקרנות אלא רק לצורך אמיתי ובזהירות.	הלכות לשון הרע, כלל ו, סעיף ג׳
ז סיון	ז סיון	hafets.jpg			לפעמים מצווה לשמוע כדי להציל, כגון שיוכל ללמד זכות, למנוע נזק או להפריך את הגנות. הכוונה צריכה להיות לתועלת ולא לקבלת הגנאי.	הלכות לשון הרע, כלל ו, סעיף ד׳
ח סיון	ח סיון	hafets.jpg			אם כבר יושב בחבורה והתחילו לדבר לשון הרע, עליו להוכיח אם יכול, או להתרחק אם אפשר. אם אינו יכול, יזהר שלא לקבל ולא להשתתף.	הלכות לשון הרע, כלל ו, סעיף ה׳
ט סיון	ט סיון	hafets.jpg			אם בשעה שבא לשבת איתם כבר דיברו דיבורים אסורים, או שהוא יכול להישמט מהם, אסור לו להישאר ולהקשיב.	הלכות לשון הרע, כלל ו, סעיף ו׳
י סיון	י סיון	hafets.jpg			גם אם הדברים ששמע אמת, כאשר אפשר לדון לכף זכות אסור לקבלם לגנאי. חובה לבחון אפשרות שהמעשה אינו רע כפי שסופר.	הלכות לשון הרע, כלל ו, סעיף ז׳
י״א סיון	י״א סיון	hafets.jpg			באיש בינוני וכל שכן ירא אלוקים, יש מצווה לדון לכף זכות יותר. לכן אין לקבל עליו סיפור גנאי בלי בירור והבנה נכונה.	הלכות לשון הרע, כלל ו, סעיף ח׳
י״ב סיון	י״ב סיון	hafets.jpg			איסור קבלת לשון הרע שייך גם על דברים שעשה בעבר. אין להחליט בלב שהגנאי אמת רק מפני ששמעו אותו מאדם אחר.	הלכות לשון הרע, כלל ו, סעיף ט׳
י״ג סיון	י״ג סיון	hafets.jpg			אף שאסור לקבל לשון הרע כאמת, מותר לחשוש לצורך שמירה וזהירות. החשש הוא מעשי בלבד, לא החלטה שהדבר אמת.	הלכות לשון הרע, כלל ו, סעיף י׳
י״ד סיון	י״ד סיון	hafets.jpg			כאשר מותר לחשוש, ההיתר הוא רק כדי לשמור את עצמו או אחרים, ולא כדי להזיק, לבזות או להאמין בלב לסיפור.	הלכות לשון הרע, כלל ו, סעיף י״א
